structure_id,configuration_id,atom_index_1based,cif_site_label,initial_magmom_muB,reference_structure
gen_8_964,AM,1,Na0,0.0,reference_structures/gen_8_964.cif
gen_8_964,AM,2,Na1,0.0,reference_structures/gen_8_964.cif
gen_8_964,AM,3,Na2,0.0,reference_structures/gen_8_964.cif
gen_8_964,AM,4,Na3,0.0,reference_structures/gen_8_964.cif
gen_8_964,AM,5,Fe4,4.0,reference_structures/gen_8_964.cif
gen_8_964,AM,6,Fe5,-4.0,reference_structures/gen_8_964.cif
gen_8_964,AM,7,O6,0.0,reference_structures/gen_8_964.cif
gen_8_964,AM,8,O7,0.0,reference_structures/gen_8_964.cif
gen_8_964,AM,9,O8,0.0,reference_structures/gen_8_964.cif
gen_8_964,AM,10,O9,0.0,reference_structures/gen_8_964.cif
gen_8_964,AM,11,O10,0.0,reference_structures/gen_8_964.cif
gen_8_964,AM,12,O11,0.0,reference_structures/gen_8_964.cif
gen_8_964,FM,1,Na0,0.0,reference_structures/gen_8_964.cif
gen_8_964,FM,2,Na1,0.0,reference_structures/gen_8_964.cif
gen_8_964,FM,3,Na2,0.0,reference_structures/gen_8_964.cif
gen_8_964,FM,4,Na3,0.0,reference_structures/gen_8_964.cif
gen_8_964,FM,5,Fe4,4.0,reference_structures/gen_8_964.cif
gen_8_964,FM,6,Fe5,4.0,reference_structures/gen_8_964.cif
gen_8_964,FM,7,O6,0.0,reference_structures/gen_8_964.cif
gen_8_964,FM,8,O7,0.0,reference_structures/gen_8_964.cif
gen_8_964,FM,9,O8,0.0,reference_structures/gen_8_964.cif
gen_8_964,FM,10,O9,0.0,reference_structures/gen_8_964.cif
gen_8_964,FM,11,O10,0.0,reference_structures/gen_8_964.cif
gen_8_964,FM,12,O11,0.0,reference_structures/gen_8_964.cif
gen_8_964,NM,1,Na0,0.0,reference_structures/gen_8_964.cif
gen_8_964,NM,2,Na1,0.0,reference_structures/gen_8_964.cif
gen_8_964,NM,3,Na2,0.0,reference_structures/gen_8_964.cif
gen_8_964,NM,4,Na3,0.0,reference_structures/gen_8_964.cif
gen_8_964,NM,5,Fe4,0.0,reference_structures/gen_8_964.cif
gen_8_964,NM,6,Fe5,0.0,reference_structures/gen_8_964.cif
gen_8_964,NM,7,O6,0.0,reference_structures/gen_8_964.cif
gen_8_964,NM,8,O7,0.0,reference_structures/gen_8_964.cif
gen_8_964,NM,9,O8,0.0,reference_structures/gen_8_964.cif
gen_8_964,NM,10,O9,0.0,reference_structures/gen_8_964.cif
gen_8_964,NM,11,O10,0.0,reference_structures/gen_8_964.cif
gen_8_964,NM,12,O11,0.0,reference_structures/gen_8_964.cif
gen_10_108,AM,1,Ca0,0.0,reference_structures/gen_10_108.cif
gen_10_108,AM,2,Ca1,0.0,reference_structures/gen_10_108.cif
gen_10_108,AM,3,Mn2,3.0,reference_structures/gen_10_108.cif
gen_10_108,AM,4,Mn3,-3.0,reference_structures/gen_10_108.cif
gen_10_108,AM,5,O4,0.0,reference_structures/gen_10_108.cif
gen_10_108,AM,6,O5,0.0,reference_structures/gen_10_108.cif
gen_10_108,AM,7,O6,0.0,reference_structures/gen_10_108.cif
gen_10_108,AM,8,O7,0.0,reference_structures/gen_10_108.cif
gen_10_108,AM,9,O8,0.0,reference_structures/gen_10_108.cif
gen_10_108,AM,10,O9,0.0,reference_structures/gen_10_108.cif
gen_10_108,FM,1,Ca0,0.0,reference_structures/gen_10_108.cif
gen_10_108,FM,2,Ca1,0.0,reference_structures/gen_10_108.cif
gen_10_108,FM,3,Mn2,3.0,reference_structures/gen_10_108.cif
gen_10_108,FM,4,Mn3,3.0,reference_structures/gen_10_108.cif
gen_10_108,FM,5,O4,0.0,reference_structures/gen_10_108.cif
gen_10_108,FM,6,O5,0.0,reference_structures/gen_10_108.cif
gen_10_108,FM,7,O6,0.0,reference_structures/gen_10_108.cif
gen_10_108,FM,8,O7,0.0,reference_structures/gen_10_108.cif
gen_10_108,FM,9,O8,0.0,reference_structures/gen_10_108.cif
gen_10_108,FM,10,O9,0.0,reference_structures/gen_10_108.cif
gen_10_108,NM,1,Ca0,0.0,reference_structures/gen_10_108.cif
gen_10_108,NM,2,Ca1,0.0,reference_structures/gen_10_108.cif
gen_10_108,NM,3,Mn2,0.0,reference_structures/gen_10_108.cif
gen_10_108,NM,4,Mn3,0.0,reference_structures/gen_10_108.cif
gen_10_108,NM,5,O4,0.0,reference_structures/gen_10_108.cif
gen_10_108,NM,6,O5,0.0,reference_structures/gen_10_108.cif
gen_10_108,NM,7,O6,0.0,reference_structures/gen_10_108.cif
gen_10_108,NM,8,O7,0.0,reference_structures/gen_10_108.cif
gen_10_108,NM,9,O8,0.0,reference_structures/gen_10_108.cif
gen_10_108,NM,10,O9,0.0,reference_structures/gen_10_108.cif
gen_12_583,AM,1,Mn0,5.0,reference_structures/gen_12_583.cif
gen_12_583,AM,2,Mn1,-5.0,reference_structures/gen_12_583.cif
gen_12_583,AM,3,C2,0.0,reference_structures/gen_12_583.cif
gen_12_583,AM,4,C3,0.0,reference_structures/gen_12_583.cif
gen_12_583,AM,5,O4,0.0,reference_structures/gen_12_583.cif
gen_12_583,AM,6,O5,0.0,reference_structures/gen_12_583.cif
gen_12_583,AM,7,O6,0.0,reference_structures/gen_12_583.cif
gen_12_583,AM,8,O7,0.0,reference_structures/gen_12_583.cif
gen_12_583,AM,9,O8,0.0,reference_structures/gen_12_583.cif
gen_12_583,AM,10,O9,0.0,reference_structures/gen_12_583.cif
gen_12_583,FM,1,Mn0,5.0,reference_structures/gen_12_583.cif
gen_12_583,FM,2,Mn1,5.0,reference_structures/gen_12_583.cif
gen_12_583,FM,3,C2,0.0,reference_structures/gen_12_583.cif
gen_12_583,FM,4,C3,0.0,reference_structures/gen_12_583.cif
gen_12_583,FM,5,O4,0.0,reference_structures/gen_12_583.cif
gen_12_583,FM,6,O5,0.0,reference_structures/gen_12_583.cif
gen_12_583,FM,7,O6,0.0,reference_structures/gen_12_583.cif
gen_12_583,FM,8,O7,0.0,reference_structures/gen_12_583.cif
gen_12_583,FM,9,O8,0.0,reference_structures/gen_12_583.cif
gen_12_583,FM,10,O9,0.0,reference_structures/gen_12_583.cif
gen_12_583,NM,1,Mn0,0.0,reference_structures/gen_12_583.cif
gen_12_583,NM,2,Mn1,0.0,reference_structures/gen_12_583.cif
gen_12_583,NM,3,C2,0.0,reference_structures/gen_12_583.cif
gen_12_583,NM,4,C3,0.0,reference_structures/gen_12_583.cif
gen_12_583,NM,5,O4,0.0,reference_structures/gen_12_583.cif
gen_12_583,NM,6,O5,0.0,reference_structures/gen_12_583.cif
gen_12_583,NM,7,O6,0.0,reference_structures/gen_12_583.cif
gen_12_583,NM,8,O7,0.0,reference_structures/gen_12_583.cif
gen_12_583,NM,9,O8,0.0,reference_structures/gen_12_583.cif
gen_12_583,NM,10,O9,0.0,reference_structures/gen_12_583.cif
gen_13_374,AM,1,Mn0,5.0,reference_structures/gen_13_374.cif
gen_13_374,AM,2,Mn1,-5.0,reference_structures/gen_13_374.cif
gen_13_374,AM,3,C2,0.0,reference_structures/gen_13_374.cif
gen_13_374,AM,4,C3,0.0,reference_structures/gen_13_374.cif
gen_13_374,AM,5,O4,0.0,reference_structures/gen_13_374.cif
gen_13_374,AM,6,O5,0.0,reference_structures/gen_13_374.cif
gen_13_374,AM,7,O6,0.0,reference_structures/gen_13_374.cif
gen_13_374,AM,8,O7,0.0,reference_structures/gen_13_374.cif
gen_13_374,AM,9,O8,0.0,reference_structures/gen_13_374.cif
gen_13_374,AM,10,O9,0.0,reference_structures/gen_13_374.cif
gen_13_374,FM,1,Mn0,5.0,reference_structures/gen_13_374.cif
gen_13_374,FM,2,Mn1,5.0,reference_structures/gen_13_374.cif
gen_13_374,FM,3,C2,0.0,reference_structures/gen_13_374.cif
gen_13_374,FM,4,C3,0.0,reference_structures/gen_13_374.cif
gen_13_374,FM,5,O4,0.0,reference_structures/gen_13_374.cif
gen_13_374,FM,6,O5,0.0,reference_structures/gen_13_374.cif
gen_13_374,FM,7,O6,0.0,reference_structures/gen_13_374.cif
gen_13_374,FM,8,O7,0.0,reference_structures/gen_13_374.cif
gen_13_374,FM,9,O8,0.0,reference_structures/gen_13_374.cif
gen_13_374,FM,10,O9,0.0,reference_structures/gen_13_374.cif
gen_13_374,NM,1,Mn0,0.0,reference_structures/gen_13_374.cif
gen_13_374,NM,2,Mn1,0.0,reference_structures/gen_13_374.cif
gen_13_374,NM,3,C2,0.0,reference_structures/gen_13_374.cif
gen_13_374,NM,4,C3,0.0,reference_structures/gen_13_374.cif
gen_13_374,NM,5,O4,0.0,reference_structures/gen_13_374.cif
gen_13_374,NM,6,O5,0.0,reference_structures/gen_13_374.cif
gen_13_374,NM,7,O6,0.0,reference_structures/gen_13_374.cif
gen_13_374,NM,8,O7,0.0,reference_structures/gen_13_374.cif
gen_13_374,NM,9,O8,0.0,reference_structures/gen_13_374.cif
gen_13_374,NM,10,O9,0.0,reference_structures/gen_13_374.cif
gen_17_732,AM,1,Na0,0.0,reference_structures/gen_17_732.cif
gen_17_732,AM,2,Na1,0.0,reference_structures/gen_17_732.cif
gen_17_732,AM,3,Na2,0.0,reference_structures/gen_17_732.cif
gen_17_732,AM,4,Na3,0.0,reference_structures/gen_17_732.cif
gen_17_732,AM,5,Fe4,4.0,reference_structures/gen_17_732.cif
gen_17_732,AM,6,Fe5,-4.0,reference_structures/gen_17_732.cif
gen_17_732,AM,7,O6,0.0,reference_structures/gen_17_732.cif
gen_17_732,AM,8,O7,0.0,reference_structures/gen_17_732.cif
gen_17_732,AM,9,O8,0.0,reference_structures/gen_17_732.cif
gen_17_732,AM,10,O9,0.0,reference_structures/gen_17_732.cif
gen_17_732,AM,11,O10,0.0,reference_structures/gen_17_732.cif
gen_17_732,AM,12,O11,0.0,reference_structures/gen_17_732.cif
